image,mask
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-10.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-10.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-100.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-100.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1000.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1000.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1001.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1001.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1002.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1002.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1003.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1003.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1004.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1004.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1005.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1005.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1006.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1006.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1007.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1007.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1008.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1008.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1009.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1009.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-101.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-101.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1010.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1010.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1011.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1011.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1012.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1012.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1013.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1013.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1014.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1014.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1015.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1015.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1016.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1016.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1017.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1017.png
sdXray/datasets/COVID-19_Radiography_Dataset/COVID/images/COVID-1018.png,sdXray/datasets/COVID-19_Radiography_Dataset/COVID/masks/COVID-1018.png
